tweet,polarity,subjectivity,
testing,0.7,0.4,
@mitchellvii Maybe also don't run a candidate who thinks 9/11 was God's way of punishing America for not banning ho… https://t.co/3sMzNPa1xH,0,0,
RT @TRobinsonNewEra: Guess who tried to prevent the extradition of terrorist Babar Ahmad to �?�?USA for secretly running an Al Qaeda Taliban…,-0.4,0.7,
"@yelloflash29 what’s makes Sharia so difficult to understand. Everything else you can just read it to understand, b… https://t.co/q0OztOEx4i",-0.5,1,
"They, like Taliban &amp; hindutva, call M A Jinnah a drunk &amp; an addict and other vile things, what makes you think they… https://t.co/6GIcl5WgRt",-0.3125,0.6875,
@ParralaxView Mostly the reason of problems are others . Where was taliban in 70s &amp, 80s?,0.5,
"@BreeNewsome @samswey Yes, If not for 22,000 Alabamians who wrote-in someone other than Roy Moore they would have e… https://t.co/wb1uJHW6Cx",-0.125,0.375,
"@pastorlocke Hey snowflake, maybe God is tired of you evangelical hypocrites trading your souls for political gain.",-0.2,0.4,
ऐस�?लोग�?क�?�?��मखोर जानवर ध�\र�?ध�\र�?हिंदुत्ववाद�\ �?��तकवादियो�?न�?बनाया ह�?https://t.co/CEpVhOuRlp,0,0,
@TdStromanIII @FoxNews @POTUS The last admin also traded 5 Taliban leaders for a deserter... people forget that.,0,0.0666666667,
RT @TRobinsonNewEra: Guess who tried to prevent the extradition of terrorist Babar Ahmad to �?�?USA for secretly running an Al Qaeda Taliban…,-0.4,0.7,
Participating in a group project isn’t always easy. You have a... More for Capricorn https://t.co/qv8qoz9zVx,0.4666666667,0.6666666667,
"RT @Nasirkhansf: https://t.co/seDWcG315K
PTI chairman Imran Khan’s support to self-declared father of Taliban Maulana Samiul Haq is an exam…",0,0,
"RT @Bagh_eBabur: Extremely rare photos of the Minaret of Chakari in southern Kabul, #Afghanistan built in the 1st century AD. A Buddhist pi…",0.15,0.45,
"@GOPChairwoman Well, by your logic, Trump answers to the American people and they DO NOT support THAT radical right… https://t.co/vAL1TjRWLv",0,0,
@mitchellvii Maybe also don't run a candidate who thinks 9/11 was God's way of punishing America for not banning ho… https://t.co/3sMzNPa1xH,0,0,
RT @TRobinsonNewEra: Guess who tried to prevent the extradition of terrorist Babar Ahmad to �?�?USA for secretly running an Al Qaeda Taliban…,-0.4,0.7,
"@yelloflash29 what’s makes Sharia so difficult to understand. Everything else you can just read it to understand, b… https://t.co/q0OztOEx4i",-0.5,1,
"They, like Taliban &amp; hindutva, call M A Jinnah a drunk &amp; an addict and other vile things, what makes you think they… https://t.co/6GIcl5WgRt",-0.3125,0.6875,
@ParralaxView Mostly the reason of problems are others . Where was taliban in 70s &amp, 80s?,0.5,0.5
"@BreeNewsome @samswey Yes, If not for 22,000 Alabamians who wrote-in someone other than Roy Moore they would have e… https://t.co/wb1uJHW6Cx",-0.125,0.375,
RT @IsmailMaryam6: #MFI Denounces All Forms of #Terrorism  https://t.co/9CvAchgkm7 #ISIS #Taliban #AlQaeda #AlNusra #BokoHaram #AlShabab #Z…,0,0,
"@ParralaxView Wrong , i lived here i experienced , taliban was just newly group made by xxx to keep the xxx as long… https://t.co/eIFdO9u9nY",0.1454545455,0.7515151515,
VIDEO: Así se vive en el hermético territorio controlado por El Talibán en Afganistán #MedioOriente https://t.co/L9tQhQxJa2,0,0,
"RT @PRESlDENTBANNON: @realDonaldTrump Day 327

Wall length: 0
Wall height: 0
Pesos from Mexico: 0
Healthcare reforms: 0
Tax reforms: 0
Mini…",0,0,
"RT @cbouzy: Some did not like my comment about evangelicals, but sometimes the truth hurts. Evangelicals voted overwhelmingly for a man tha…",0.5,1,
#ThankYouAlabama,0,0,
Participating in a group project isn’t always easy. You have a... More for Capricorn https://t.co/qv8qoz9zVx,0.4666666667,0.6666666667,
"RT @Nasirkhansf: https://t.co/seDWcG315K
PTI chairman Imran Khan’s support to self-declared father of Taliban Maulana Samiul Haq is an exam…",0,0,
"RT @Bagh_eBabur: Extremely rare photos of the Minaret of Chakari in southern Kabul, #Afghanistan built in the 1st century AD. A Buddhist pi…",0.15,0.45,
"@GOPChairwoman Well, by your logic, Trump answers to the American people and they DO NOT support THAT radical right… https://t.co/vAL1TjRWLv",0,0,
@mitchellvii Maybe also don't run a candidate who thinks 9/11 was God's way of punishing America for not banning ho… https://t.co/3sMzNPa1xH,0,0,
RT @TRobinsonNewEra: Guess who tried to prevent the extradition of terrorist Babar Ahmad to �?�?USA for secretly running an Al Qaeda Taliban…,-0.4,0.7,
"@yelloflash29 what’s makes Sharia so difficult to understand. Everything else you can just read it to understand, b… https://t.co/q0OztOEx4i",-0.5,1,
"They, like Taliban &amp; hindutva, call M A Jinnah a drunk &amp; an addict and other vile things, what makes you think they… https://t.co/6GIcl5WgRt",-0.3125,0.6875,
@ParralaxView Mostly the reason of problems are others . Where was taliban in 70s &amp, 80s?,0.5,0.5
"@BreeNewsome @samswey Yes, If not for 22,000 Alabamians who wrote-in someone other than Roy Moore they would have e… https://t.co/wb1uJHW6Cx",-0.125,0.375,
"@pastorlocke Hey snowflake, maybe God is tired of you evangelical hypocrites trading your souls for political gain.",-0.2,0.4,
ऐस�?लोग�?क�?�?��मखोर जानवर ध�\र�?ध�\र�?हिंदुत्ववाद�\ �?��तकवादियो�?न�?बनाया ह�?https://t.co/CEpVhOuRlp,0,0,
@TdStromanIII @FoxNews @POTUS The last admin also traded 5 Taliban leaders for a deserter... people forget that.,0,0.0666666667,
RT @TRobinsonNewEra: Guess who tried to prevent the extradition of terrorist Babar Ahmad to �?�?USA for secretly running an Al Qaeda Taliban…,-0.4,0.7,
UK DailyMail Top Afghan official SEALTeam6 shootdown Taliban Trap https://t.co/FdbtIZ8Hzn #RT @FallenAngelMovi #TCOT https://t.co/v2ZpggfGng,0.5,0.5,
RT @SudarshanNewsTV: संसार क�?सबस�?दुर्दांत �?��ंक�\ दल #Taliban क�?कुख्यात सं�?@PChidambaram_IN क�\ तस्व�\र क�?बाद राजनैति�?बवंडर . @INCIndia…,0,0,
"Hunting Taliban and Islamic State Fighters, From 20,000 Feet https://t.co/gGx48ztnL6",0,0,
Militer AS Hancurkan 25 Pabrik Narkotika Sumber Pendapatan Taliban https://t.co/aLKVXaFMaU,0,0,
@magadearg Me diste un consuelo.... por lo que veo no soy la única loca talibán..... jajaj,0,0,
Wallahi I am not even joking my irl gets stalked by this white girl and she sent screenshots to him of several chat… https://t.co/Sk1VSs6YTj,0,0,
"@RMConservative @CNN A TRULY TONE DEAF STATEMENT,you’re right about one thing, Bannon did create the movement and h… https://t.co/xuHL2Ayj93",0.2857142857,0.5357142857,
RT @TRobinsonNewEra: Guess who tried to prevent the extradition of terrorist Babar Ahmad to �?�?USA for secretly running an Al Qaeda Taliban…,-0.4,0.7,
"RT @mepanews: Taliban'dan 'direni�?medyası' atılımı               
https://t.co/kHcoiFhbgx",0,0,
"RT @Bagh_eBabur: Extremely rare photos of the Minaret of Chakari in southern Kabul, #Afghanistan built in the 1st century AD. A Buddhist pi…",0.15,0.45,
