tweet,polarity,subjectivity
RT @books_in_movies: 'History of Kashmir' (Tarikh-i-Kashmir of Saiyid Ali) — English translation with Historical Analysis — by Abdul Qaiyum…,0,0
"@Junaid_Mattu Is Jihad in Kashmir is Only For Poor Kashmiri People's, Why The Children's of Our Hurriyat leaders ar… https://t.co/OLRfvsDiob",-0.2,0.8
"RT @WIONews: 28-year-old Syed Hamid Bukhari made #Kashmir valley proud by clearing the civil service exam.
https://t.co/dYnUBwouPS",0.8,1
Comparing the #palestinian people to #Kashmir I won’t disagree since both have an insurgency of the #mujahadeen. On… https://t.co/K8zEZcZ0yT,0,0
"RT @alam_mujaid: Militants often come to our village and forces people to join militancy.😠
You can see terrifying faces of our mothers and…",-1,1
"RT @TimesNow: Watch | 'NGT is repeatedly intervening into the religious matters of crores and crores of Hindus in Jammu and Kashmir', says…",0,0.25
"RT @GustakhManto: Kya aap Kashmir me un dukhiyari maaon jinke bachche nabina kar diye gaye hain,  unki raushani lauta sakte hain? Un bewaao…",0,0
"RT @TimesNow: Watch | 'NGT is repeatedly intervening into the religious matters of crores and crores of Hindus in Jammu and Kashmir', says…",0,0.25
"RT @RadioPakistan: People of occupied Kashmir are subjected to illegal Indian occupation: PM
https://t.co/rqmd3LKHLX https://t.co/FViH7WtdQd",-0.5,0.5
"RT @Naveenamysuru: China backed Commies in power in #Nepal.
China sponsored projects in #Pakistan Occupied #Kashmir.
#China getting keys fo…",0,0
"China backed Commies in power in #Nepal.
China sponsored projects in #Pakistan Occupied #Kashmir.
#China getting ke… https://t.co/PoMvXprgwy",0,0
RT @SiddharthAulia: Saudi Arabia's decision to reopen cinema halls sparks similar debate sparks in J-K https://t.co/RKWPzxTERR,0,0.4
WATCH | @JKMinFCSCATA @chzulfkarali today said the government has taken path-breaking initiatives for providing qua… https://t.co/1wNOgqjpzB,0,0
sex drak magician girl book kashmir sexy nacked https://t.co/ZwJg4t1Bd3,0.5,1
"RT @girishalva: ""Why Double Standard?""

NGT wants Silence Zone in Amarnath Shrine! No Mantras! ""Handful"" of ppl want to stop Hindu practice…",0.104166667,0.033333333
Light snow fall in Jammu and Kashmir life remained dull in past two days,-0.047222222,0.483333333
"People of occupied Kashmir are subjected to illegal Indian occupation: PM
https://t.co/rqmd3LKHLX https://t.co/FViH7WtdQd",-0.5,0.5
"RT @LostKashmirHist: People will never be happy until the last oppressor is hung on the guts of the last collaborator.

#Kashmir https://t.…",0.266666667,0.377777778
"People will never be happy until the last oppressor is hung on the guts of the last collaborator.

#Kashmir https://t.co/V8sQP5tb48",0.266666667,0.377777778
"RT @ShakilMadiha: Spirit of Azadi can never die. It is this spirit which encourages a common #kashmiri to face bullets without any weapon,…",-0.3,0.5
RT @BahadurManmohan: INTERESTING indeed if true. Musharraf says that he is in talks with Indians on the Kashmir issue. Wonder who??  https:…,0.425,0.575
RT @INDSNM: India doesn’t belong.... but whether Kashmir belongs to a particular religion Mr Farooq Abdullah? Your double speaks are expose…,0.083333333,0.166666667
@atti_cus Amazing Haider could more or less get away portraying Indian occupation of Kashmir with such brutal honesty.,0.011666667,0.593333333
"#DutyBeingAPakistani
Correct wrong maps about Pakistan and Kashmir.",-0.5,0.9
"Kya aap Kashmir me un dukhiyari maaon jinke bachche nabina kar diye gaye hain,  unki raushani lauta sakte hain? Un… https://t.co/kvdbn3OIv6",0,0
@Sudozai5 Pakistan does not recognize freedom of #Kashmir .,0,0
"RT @majorgauravarya: 5 soldiers missing in avalanche &amp; heavy snowfall in Nowgam &amp; Gurez sectors, Kashmir. Let’s join the 5 families and tho…",-0.2,0.275
"RT @rifatabdullahh: Meet Pardeep Singh Dardi, Mass Com Student of Kashmir University. He is a great volunteer. Keeping plants ready for fre…",0.5,0.625
"#Kashmir
#Pakistan is so desperate
To play Cricket with #India
Despite continuous refusal
By @BCCI , as if It's que… https://t.co/OMO0bIvQyP",-0.6,1
